gene_cluster_id,type,genome_occurences,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GC.function,COG20_FUNCTION,KOfam,Pfam
GC_00024525,accessory,2,5.273404442556102,5.385976323463682,1.3836240338917107,3.8926588376139866,9.915154044601124e-5,0.008220958409788162,"Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)|Catechol-2,3-dioxygenase (CatE)","Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)|Catechol-2,3-dioxygenase (CatE)","catechol 2,3-dioxygenase [EC:1.13.11.2]",Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
GC_00006834,accessory,8,5.142805769001435,4.758306942881822,1.0914315943186623,4.359693239274647,1.3024489578983598e-5,0.002014743821317885,"Transposase, IS1182 family","Transposase, IS1182 family",transposase,Transposase DDE domain
GC_00050528,accessory,1,7.230360290765142,4.664471580874325,1.102566825854062,4.230556798460872,2.3311357133121098e-5,0.0031847639449562545,"DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)","LysR family transcriptional regulator, nod-box dependent transcriptional activator",LysR substrate binding domain
GC_00021485,accessory,2,6.974343580129481,4.613569489025698,1.090589323772558,4.230345363244961,2.333327987254259e-5,0.0031847639449562545,Retron-type reverse transcriptase (YkfC),Retron-type reverse transcriptase (YkfC),,
GC_00027257,accessory,2,4.638482541966343,4.015380239226932,1.1271908533346922,3.562289586850171,3.676345350163963e-4,0.01925781837215708,"NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)|Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase (RhaD) (PDB:3M4R)","NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)|Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase (RhaD) (PDB:3M4R)",,Enoyl-(Acyl carrier protein) reductase
GC_00006889,accessory,17,1.9125730862895505,3.924748320123765,1.0656062068639958,3.6831132315511033,2.3040275346327004e-4,0.013826151438429506,GC_00006889,,,
GC_00020009,accessory,2,4.3374142025010975,3.9059423623264027,0.9613400159204069,4.063018596585488,4.844216860593823e-5,0.004887042545883131,Site-specific recombinase XerD (XerD) (PDB:1A0P),Site-specific recombinase XerD (XerD) (PDB:1A0P),,
GC_00011734,accessory,8,2.840097991113449,3.898633526923308,0.9816866877080525,3.9713623254130725,7.146279501810799e-5,0.006296867292671516,GC_00011734,,,
GC_00007659,accessory,11,4.238853425942338,3.8833623304566274,0.9595819096100815,4.046931576726577,5.189340205576934e-5,0.005160428167288719,GC_00007659,,,
GC_00028142,accessory,2,1.7979422247378216,3.828468877553186,1.014629822358211,3.7732666566561455,1.6112391534775633e-4,0.011104787868670613,GC_00028142,,,
GC_00045116,accessory,1,2.632189344231642,3.770193441799272,0.9783805879052785,3.853503931298647,1.1643939293191663e-4,0.009005940157767463,Polyketide cyclase / dehydrase and lipid transport,,,Polyketide cyclase / dehydrase and lipid transport
GC_00005024,accessory,21,2.513518380427135,3.7162643626103584,1.0001528010002092,3.7156966004533354,2.0264462723622992e-4,0.013090819912319645,GC_00005024,,,
GC_00015471,accessory,5,1.6520145339574748,3.716205601679246,1.0742998641348969,3.4591883753720856,5.418058295769953e-4,0.0243323250302288,GC_00015471,,,
GC_00027709,accessory,2,1.623762821065751,3.7030459236191033,1.0824963629057496,3.4208391367514634,6.242824615144911e-4,0.025866846515490313,GC_00027709,,,
GC_00008472,accessory,14,2.4735904541067133,3.678719982652124,1.0218417555683645,3.600087746077632,3.1810981328543684e-4,0.01729970633031192,Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP),Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein) (OsmF) (PDB:4WEP),osmoprotectant transport system substrate-binding protein,Substrate binding domain of ABC-type glycine betaine transport system
GC_00012383,accessory,7,1.605305808532587,3.67639039934514,1.0535161998953861,3.4896382226587543,4.836748525360775e-4,0.023150146392940562,"Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)","Phenylpropionate dioxygenase or related ring-hydroxylating dioxygenase, large terminal subunit (HcaE) (PDB:4QDC)",,Vanillate O-demethylase oxygenase C-terminal domain
GC_00055835,accessory,1,1.5943724821649317,3.6719446399214246,1.0691964182833251,3.4343031618240984,5.940793654844979e-4,0.024844073046600534,GC_00055835,,,
GC_00003662,accessory,23,5.379877047773229,3.6684779966604664,0.8832073530055956,4.153586339806236,3.273046339926416e-5,0.0036838777271676723,Transposase InsO and inactivated derivatives (Tra5),Transposase InsO and inactivated derivatives (Tra5),putative transposase,Transposase
GC_00016765,accessory,2,2.3740130685121565,3.659183472848019,1.0613403832136281,3.4477002201389837,5.65381181956458e-4,0.02444483482980686,"ABC-type protease/lipase transport system, ATPase and permease components (ArpD) (PDB:5L22)","ABC-type protease/lipase transport system, ATPase and permease components (ArpD) (PDB:5L22)","ATP-binding cassette, subfamily C, type I secretion system permease/ATPase",ABC transporter
GC_00013553,accessory,6,3.606226611796092,3.6540407924367657,0.9953638020479116,3.671060555867873,2.4154609762126568e-4,0.014370960560184875,GC_00013553,,,
GC_00012610,accessory,7,1.5414615746960458,3.630150711196095,1.0410800523835377,3.486908334171726,4.886388081356483e-4,0.023150146392940562,GC_00012610,,,
