gene_callers_id;mean_pNpS;conf_int_lower;conf_int_upper;t_statistic;p_value;adj.p;host_species;gene_cluster_id;genome_name;type;genome_occurences;DAGCs;COG20_FUNCTION;KOfam;Pfam
66377;11606.60156;7973.810183;Inf;9.328416006;0.005648664;0.016945992;THOC;GC_00015108;M_sp_018;accessory;5;non-DAGC;VapC family ribonuclease, toxin component of the VapBC toxin-antitoxin module, contains PIN domain (VapC) (PUBMED:30169502);;PIN domain
458204;3.33041847;2.763209955;Inf;11.99697845;0.00343818;0.021832604;FAGR;GC_00015287;M_sp_018;accessory;3;angio_vs_gymno;;;
552276;2.979499862;2.38905928;Inf;9.789488107;0.005137083;0.021832604;FAGR;GC_00041957;M_sp_018;accessory;1;angio_vs_gymno;Transposase|CRISPR-associated protein Csa3, CARF domain (Csa3) (PDB:2WTE) (PUBMED:21093452);;
66964;2.708729276;2.026439863;Inf;7.312827591;0.009095398;0.025770293;FAGR;GC_00002056;M_sp_018;core;98;non-DAGC;;;Ceramidase
165750;2.697286253;2.547368416;Inf;33.05845043;4.57E-04;0.00776709;FAGR;GC_00003269;M_sp_018;accessory;54;non-DAGC;ADP-ribosylglycohydrolase (DraG) (PDB:1T5J);;Opioid growth factor receptor (OGFr) conserved region
165486;1.649659136;1.259000452;Inf;4.855889265;0.019944566;0.042382202;FAGR;GC_00049500;M_sp_018;accessory;1;non-DAGC;;;
285837;1.545673969;1.350241785;Inf;8.153007818;0.007356421;0.025011832;FAGR;GC_00027250;M_sp_018;accessory;2;non-DAGC;;;
66581;1.530224275;1.280495721;Inf;6.199720512;0.012521852;0.030410213;FAGR;GC_00002983;M_sp_018;accessory;62;non-DAGC;Glutathione S-transferase (GstA) (PDB:1A0F);glutathione S-transferase [EC:2.5.1.18];Glutathione S-transferase, N-terminal domain
458126;1.515585846;1.376201946;Inf;10.80112724;0.004231471;0.021832604;FAGR;GC_00056950;M_sp_018;accessory;1;trees_vs_shrub;;;
285057;15459.41287;8392.37637;Inf;4.66319479;0.004783365;0.020383067;COCO;GC_00058381;M_sp_018;accessory;1;non-DAGC;;;
66716;6031.123614;1142.748145;Inf;2.903024228;0.031174396;0.045604651;COCO;GC_00003266;M_sp_018;accessory;24;angio_vs_gymno;Plastocyanin (PetE) (PDB:3BQV);;
